root@notebook-1898717724949078018-scngsz9kqh-56749:~# python model.py 
Training Original BotRGCN:
Epoch 030 | Loss: 0.1171 | Val Acc: 0.9707 | Val F1: 0.9685
Epoch 031 | Loss: 0.1205 | Val Acc: 0.9745 | Val F1: 0.9725
Epoch 032 | Loss: 0.1080 | Val Acc: 0.9735 | Val F1: 0.9714
Epoch 033 | Loss: 0.1116 | Val Acc: 0.9754 | Val F1: 0.9735
Epoch 034 | Loss: 0.1033 | Val Acc: 0.9764 | Val F1: 0.9745
Epoch 035 | Loss: 0.1004 | Val Acc: 0.9745 | Val F1: 0.9725
Epoch 036 | Loss: 0.0954 | Val Acc: 0.9764 | Val F1: 0.9747
Epoch 037 | Loss: 0.0934 | Val Acc: 0.9764 | Val F1: 0.9747
Epoch 038 | Loss: 0.1004 | Val Acc: 0.9773 | Val F1: 0.9757
Epoch 039 | Loss: 0.0821 | Val Acc: 0.9783 | Val F1: 0.9767
Epoch 040 | Loss: 0.0873 | Val Acc: 0.9773 | Val F1: 0.9757
Epoch 041 | Loss: 0.0763 | Val Acc: 0.9764 | Val F1: 0.9747
Epoch 042 | Loss: 0.0939 | Val Acc: 0.9745 | Val F1: 0.9727
Epoch 043 | Loss: 0.0810 | Val Acc: 0.9745 | Val F1: 0.9727
Epoch 044 | Loss: 0.0770 | Val Acc: 0.9754 | Val F1: 0.9737
Epoch 045 | Loss: 0.0769 | Val Acc: 0.9764 | Val F1: 0.9747
Epoch 046 | Loss: 0.0769 | Val Acc: 0.9783 | Val F1: 0.9767
Epoch 047 | Loss: 0.0718 | Val Acc: 0.9783 | Val F1: 0.9767
Epoch 048 | Loss: 0.0775 | Val Acc: 0.9783 | Val F1: 0.9767
Epoch 049 | Loss: 0.0704 | Val Acc: 0.9792 | Val F1: 0.9777
Epoch 050 | Loss: 0.0712 | Val Acc: 0.9792 | Val F1: 0.9776
Epoch 051 | Loss: 0.0708 | Val Acc: 0.9792 | Val F1: 0.9776
Epoch 052 | Loss: 0.0636 | Val Acc: 0.9773 | Val F1: 0.9756
Epoch 053 | Loss: 0.0690 | Val Acc: 0.9764 | Val F1: 0.9746
Epoch 054 | Loss: 0.0624 | Val Acc: 0.9764 | Val F1: 0.9746
Epoch 055 | Loss: 0.0606 | Val Acc: 0.9792 | Val F1: 0.9776
Epoch 056 | Loss: 0.0659 | Val Acc: 0.9802 | Val F1: 0.9786
